url,domain,creation_date,url_length,domain_length,dots_count,hyphens_count,special_chars_count,domain_entropy,domain_age_days
xn--yonbusiess-14b6800g.sbi,xn--yonbusiess-14b6800g.sbi,,27,27,1,3,0,3.884155094595804,
xn--sbicarc-tjb.com,xn--sbicarc-tjb.com,,19,19,1,3,0,3.6421498816369042,
clinic-poc.skills.ninja,clinic-poc.skills.ninja,,23,23,2,1,0,3.3816201079487342,
www.cloud1.visibleintel.com,www.cloud1.visibleintel.com,2025-08-15 23:42:23+00:00,27,27,3,0,0,3.8282375018429544,51.0
xn--hdfero-yua041a.com,xn--hdfero-yua041a.com,,22,22,1,3,0,4.0614821867207755,
xn--pnidia-keb0000d.in,xn--pnidia-keb0000d.in,,22,22,1,3,0,3.356492413796824,
vegashomecashbuyers.com,vegashomecashbuyers.com,2023-05-13 02:16:39+00:00,23,23,1,0,0,3.6753108689123635,877.0
xn--hflife-xua4280d.com,xn--hflife-xua4280d.com,,23,23,1,3,0,4.1429146733542535,
davidespinorealestate.com,davidespinorealestate.com,2024-09-24 19:34:37+00:00,25,25,1,0,0,3.733660689688186,376.0
nicedream.site,nicedream.site,2025-02-07 08:48:37+00:00,14,14,1,0,0,3.3248629576173565,241.0
dashboard.betb8831.com,dashboard.betb8831.com,2023-03-20 08:28:59+00:00,22,22,2,0,0,3.788754913993503,931.0
www.comunibeer.com,www.comunibeer.com,2025-09-28 12:35:55+00:00,18,18,2,0,0,3.350209029099897,7.0
xn--ic-yqa29a.com,xn--ic-yqa29a.com,,17,17,1,3,0,3.572469458770135,
mail.servis.stavlib.cz,mail.servis.stavlib.cz,2011-01-18 10:06:29+00:00,22,22,3,0,0,3.5383105956150063,5375.0
iizukafamilyclinic.com,iizukafamilyclinic.com,2024-06-13 07:16:19+00:00,22,22,1,0,0,3.4428621651554665,480.0
garbeniscontracting.alliedcomputing.website,garbeniscontracting.alliedcomputing.website,2017-05-30 23:02:39+00:00,43,43,2,0,0,3.9873274760758837,3050.0
xn--nkofbaroda-fge3916f.in,xn--nkofbaroda-fge3916f.in,,26,26,1,3,0,3.997952698660692,
dev.farlibaax.safarsoft.so,dev.farlibaax.safarsoft.so,2024-11-10 13:27:28+00:00,26,26,3,0,0,3.551428065028507,329.0
sberbank.support.sohid4dmacau.info,sberbank.support.sohid4dmacau.info,,34,34,3,0,0,4.116299605701696,
www.internationalfilmforpeace.com,www.internationalfilmforpeace.com,2024-08-19 15:34:07+00:00,33,33,2,0,0,3.7556266947226713,412.0
xn--yonobvsinss-jqe.sbi,xn--yonobvsinss-jqe.sbi,,23,23,1,3,0,3.5013978254341027,
mosselbank73.hotelye.top,mosselbank73.hotelye.top,2023-01-16 17:09:10+00:00,24,24,2,0,0,3.8553885422075336,993.0
xn--iciceareers-p1e.com,xn--iciceareers-p1e.com,,23,23,1,3,0,3.588354347173233,
63aa23f3-089e-492b-9dcd-01b36a6926c7.sportconclave.com,63aa23f3-089e-492b-9dcd-01b36a6926c7.sportconclave.com,2025-02-25 16:55:02+00:00,54,54,2,4,0,4.437861289593769,222.0
accounts.xn--mgovcld-bmb8929d.in,accounts.xn--mgovcld-bmb8929d.in,,32,32,2,3,0,4.179229296672175,
email.inarena.de,email.inarena.de,,16,16,2,0,0,3.0306390622295662,
www.api.bfntpdvu.zynapkjb.hrzlpmfn.ibank.server24x24.com,www.api.bfntpdvu.zynapkjb.hrzlpmfn.ibank.server24x24.com,2022-10-27 15:06:25+00:00,56,56,7,0,0,4.509657878074441,1074.0
xn--bobidaning-mk2e.com,xn--bobidaning-mk2e.com,,23,23,1,3,0,3.762267390651494,
r1759493766z3bfd090c.dc2.monitor.radiantlock.org,r1759493766z3bfd090c.dc2.monitor.radiantlock.org,2016-12-15 23:05:29+00:00,48,48,4,0,0,4.454448698502606,3216.0
organiccaviar.com,organiccaviar.com,2023-01-13 04:06:30+00:00,17,17,1,0,0,3.1751231351134606,997.0
xn--icidirect-pob1159e.com,xn--icidirect-pob1159e.com,,26,26,1,3,0,3.921029621737615,
234vip29.comff.deetbtonlinebanking.mysrtick.insightandsound.co.uk,234vip29.comff.deetbtonlinebanking.mysrtick.insightandsound.co.uk,2022-01-13 00:00:00+00:00,65,65,6,0,0,4.4155143980457705,1362.0
xn--cicilmbard-89a0082g.com,xn--cicilmbard-89a0082g.com,,27,27,1,3,0,4.032303242743952,
xn--hdfcro-lva17b.com,xn--hdfcro-lva17b.com,,21,21,1,3,0,3.9754180179138334,
www.rehbersigorta.com.tr,www.rehbersigorta.com.tr,,24,24,3,0,0,3.6053885422075336,
xn--hdfcife-puc.com,xn--hdfcife-puc.com,,19,19,1,3,0,3.6421498816369042,
bankofbarod2.in,bankofbarod2.in,,15,15,1,0,0,3.3735572622751855,
xn--onlnsbi-wgd4394d.sbi,xn--onlnsbi-wgd4394d.sbi,,24,24,1,3,0,3.7720552088742005,
xn--ynbusiness-sbb40i.sbi,xn--ynbusiness-sbb40i.sbi,,25,25,1,3,0,3.288884070537636,
xn--icicidrect-ltd.com,xn--icicidrect-ltd.com,,22,22,1,3,0,3.481714572986073,
xn--sblfe-n3a38m.co.in,xn--sblfe-n3a38m.co.in,,22,22,2,3,0,3.8453509366224363,
www.rallye360.zoneabitibi.com,www.rallye360.zoneabitibi.com,2020-05-28 14:39:09+00:00,29,29,3,0,0,4.021268494903765,1956.0
sepiddentalclinic.com,sepiddentalclinic.com,2025-08-04 10:01:15+00:00,21,21,1,0,0,3.558518613048906,63.0
xn--icicidrec-55a7614f.com,xn--icicidrec-55a7614f.com,,26,26,1,3,0,3.9500637564362098,
xn--bnkofbarda-h4a1077f.in,xn--bnkofbarda-h4a1077f.in,,26,26,1,3,0,3.921029621737615,
xn--onlnsbi-z7a2y.sbi,xn--onlnsbi-z7a2y.sbi,,21,21,1,3,0,3.6537567082870015,
xn--dfcank-5g7b2i.com,xn--dfcank-5g7b2i.com,,21,21,1,3,0,3.9754180179138334,
xn--ccidirect-5hd53h.com,xn--ccidirect-5hd53h.com,,24,24,1,3,0,3.720175521464345,
kicicidirect.com,kicicidirect.com,,16,16,1,0,0,3.0,
berdcoin.com,berdcoin.com,2025-07-30 18:09:17+00:00,12,12,1,0,0,3.2516291673878226,67.0
email.khado.xyz,email.khado.xyz,2024-09-26 20:09:39+00:00,15,15,2,0,0,3.640223928941852,374.0
xn--hdfcbrk-lwa.com,xn--hdfcbrk-lwa.com,,19,19,1,3,0,3.8924071185928764,
email.mail.waldenmarketing.org,email.mail.waldenmarketing.org,2024-11-30 22:29:53+00:00,30,30,3,0,0,3.647742678581274,309.0
blablacar.pochtabank.notexistsuid1707243743361288440.pergam.ru,blablacar.pochtabank.notexistsuid1707243743361288440.pergam.ru,1998-07-08 12:19:25+00:00,62,62,4,0,0,4.643160624658742,9951.0
www.report.ohbusiness.com,www.report.ohbusiness.com,2006-08-13 16:38:42+00:00,25,25,3,0,0,3.7230741894285697,6993.0
accounts.xn--mgcloud-r1a5721h.in,accounts.xn--mgcloud-r1a5721h.in,,32,32,2,3,0,4.241729296672175,
www.corp.dcampos.com,www.corp.dcampos.com,2007-08-17 09:42:25+00:00,20,20,3,0,0,3.1709505944546685,6625.0
xn--iecibank-w5c.com,xn--iecibank-w5c.com,,20,20,1,3,0,3.6464393446710157,
xn--hcbank-ij7byd.com,xn--hcbank-ij7byd.com,,21,21,1,3,0,3.880179922675738,
marketing.perfumeinternational.com,marketing.perfumeinternational.com,1998-10-22 04:00:00+00:00,34,34,2,0,0,3.7999793850498294,9846.0
xn--prparierschere-6hb.de,xn--prparierschere-6hb.de,,25,25,1,3,0,3.653660689688186,
www.tls2.canary2d5bf15dc59.c0btwa.c5.kafka.ap-sowton.13-68-225-194.plesk.page,www.tls2.canary2d5bf15dc59.c0btwa.c5.kafka.ap-sowton.13-68-225-194.plesk.page,,77,77,9,4,0,4.511273190992629,
dashboards.pornhub.com.in,dashboards.pornhub.com.in,2004-12-31 18:19:14+00:00,25,25,3,0,0,3.7034651896016473,7583.0
shop.conftecnici.eu,shop.conftecnici.eu,,19,19,2,0,0,3.471354487013929,
bos777nice.com,bos777nice.com,2025-07-01 06:29:51+00:00,14,14,1,0,0,3.1820058147602133,97.0
meccanica.techinfoportal.com,meccanica.techinfoportal.com,2016-11-11 12:24:03+00:00,28,28,2,0,0,3.624518654958899,3250.0
xn--hfclie-byc2208c.com,xn--hfclie-byc2208c.com,,23,23,1,3,0,3.8820451081368623,
iciciprulife0.com,iciciprulife0.com,,17,17,1,0,0,3.3371753411230762,
xn--iciclprulfe-p79e.com,xn--iciclprulfe-p79e.com,,24,24,1,3,0,3.8553885422075336,
xn--yonosiness-4xe9655f.sbi,xn--yonosiness-4xe9655f.sbi,,27,27,1,3,0,3.736006946447656,
www.eeeibadmin.flyers.ca,www.eeeibadmin.flyers.ca,2003-11-06 19:38:49+00:00,24,24,3,0,0,3.688721875540867,8004.0
accesspoint.vpce-0e286e78c9a398407-vn2v74ib-us-gov-west-1b.s3.us-gov-west-1.vpce.amazonaws.com,accesspoint.vpce-0e286e78c9a398407-vn2v74ib-us-gov-west-1b.s3.us-gov-west-1.vpce.amazonaws.com,2005-08-18 02:10:45+00:00,94,94,6,9,0,4.507155442717858,7354.0
xn--bankofbaoa-d81ew6a.in,xn--bankofbaoa-d81ew6a.in,,25,25,1,3,0,3.7834651896016473,
xn--icieprulife-3cb.com,xn--icieprulife-3cb.com,,23,23,1,3,0,3.8164027166443866,
na.pool.nagiba.com,na.pool.nagiba.com,2013-09-28 00:21:45+00:00,18,18,3,0,0,3.266332639970623,4391.0
www.app.liberymutualgroup.com,www.app.liberymutualgroup.com,2013-12-03 19:45:29+00:00,29,29,3,0,0,3.857306856898128,4324.0
xn--rtel-zsa0z.com,xn--rtel-zsa0z.com,,18,18,1,3,0,3.794653473544342,
